vm_id;time;violation_percentage
0;300,10;0,100000
0;309,91;0,100000
0;314,02;0,000000
0;327,94;0,000000
0;600,10;0,000000
0;609,91;0,000000
0;627,94;0,000000
0;900,10;0,000000
0;909,91;0,000000
0;914,02;0,000000
0;927,94;0,000000
0;1200,10;0,000000
0;1214,02;0,000000
0;1227,94;0,000000
0;1500,10;0,000000
0;1509,91;0,000000
0;1514,02;0,000000
0;1527,94;0,000000
0;1800,10;0,000000
0;2100,10;0,137600
0;2114,02;0,000000
0;2400,10;0,000000
0;2409,91;0,000000
0;2414,02;0,000000
0;2427,94;0,000000
0;2700,10;0,000000
0;3000,10;0,000000
0;3300,10;0,000000
0;3600,10;0,000000
0;3900,10;0,000000
0;3927,94;0,000000
0;4200,10;0,000000
0;4227,94;0,000000
0;4500,10;0,000000
0;4800,10;0,000000
0;5100,10;0,000000
0;5400,10;0,000000
0;5700,10;0,000000
0;6000,10;0,000000
0;6300,10;0,000000
0;6600,10;0,000000
0;6627,94;0,000000
0;6900,10;0,108108
0;6914,02;0,000000
0;6927,94;0,000000
0;7200,10;0,000000
0;7209,91;0,000000
0;7214,02;0,000000
0;7227,94;0,000000
0;7500,10;0,000000
0;7800,10;0,000000
0;7814,02;0,000000
0;8100,10;0,000000
0;8114,02;0,000000
0;8400,10;0,000000
0;8700,10;0,000000
0;9000,10;0,000000
0;9300,10;0,000000
0;9600,10;0,000000
0;9900,10;0,000000
0;10200,10;0,000000
0;10500,10;0,000000
0;10800,10;0,000000
0;11100,10;0,000000
0;11400,10;0,000000
0;11700,10;0,000000
0;11714,02;0,000000
0;12000,10;0,000000
0;12014,02;0,000000
0;12300,10;0,000000
0;12600,10;0,100000
0;12609,91;0,100000
0;12614,02;0,000000
0;12627,94;0,000000
0;12900,10;0,000000
0;12927,94;0,000000
0;13200,10;0,000000
0;13500,10;0,002700
0;13514,02;0,000000
0;13800,10;0,000000
0;13814,02;0,000000
0;14100,10;0,064899
0;14127,94;0,000000
0;14400,10;0,000000
0;14414,02;0,000000
0;14427,94;0,000000
0;14700,10;0,000000
0;15000,10;0,000000
0;15300,10;0,000000
0;15314,02;0,000000
0;15327,94;0,000000
0;15600,10;0,000000
0;15900,10;0,000000
0;15927,94;0,000000
0;16200,10;0,000000
0;16500,10;0,000000
0;16527,94;0,000000
0;16800,10;0,000000
0;16827,94;0,000000
0;17100,10;0,000000
0;17127,94;0,000000
0;17400,10;0,000000
0;17427,94;0,000000
0;17700,10;0,000000
0;17727,94;0,000000
0;18000,10;0,000000
0;18300,10;0,119920
0;18314,02;0,000000
0;18327,94;0,000000
0;18600,10;0,000000
0;18627,94;0,000000
0;18900,10;0,000000
0;19200,10;0,000000
0;19500,10;0,000000
0;19800,10;0,000000
0;20100,10;0,000000
0;20114,02;0,000000
0;20400,10;0,000000
0;20414,02;0,000000
0;20700,10;0,000000
0;21000,10;0,000000
0;21300,10;0,000000
0;21600,10;0,000000
0;21900,10;0,000000
0;22200,10;0,000000
0;22500,10;0,000000
0;22800,10;0,000000
0;23100,10;0,000000
0;23400,10;0,000000
0;23700,10;0,000000
0;24000,10;0,000000
0;24300,10;0,000000
0;24600,10;0,000000
0;24900,10;0,000000
0;25200,10;0,000000
0;25500,10;0,100000
0;25514,02;0,000000
0;25527,94;0,000000
0;25800,10;0,031573
0;25809,91;0,025614
0;25814,02;0,000000
0;25827,94;0,000000
0;26100,10;0,100000
0;26109,91;0,100000
0;26114,02;0,000000
0;26127,94;0,000000
0;26400,10;0,000000
0;26700,10;0,000000
0;27000,10;0,000000
0;27300,10;0,000000
0;27327,94;0,000000
0;27600,10;0,000000
0;27627,94;0,000000
0;27900,10;0,028807
0;27914,02;0,000000
0;28200,10;0,100000
0;28214,02;0,000000
0;28227,94;0,000000
0;28500,10;0,000000
0;28509,91;0,000000
0;28514,02;0,000000
0;28527,94;0,000000
0;28800,10;0,183569
0;28814,02;0,000000
0;28827,94;0,000000
0;29100,10;0,100000
0;29109,91;0,100000
0;29114,02;0,000000
0;29127,94;0,000000
0;29400,10;0,000000
0;29414,02;0,000000
0;29700,10;0,000000
0;29714,02;0,000000
0;30000,10;0,000000
0;30300,10;0,000000
0;30600,10;0,000000
0;30900,10;0,000000
0;31200,10;0,000000
0;31500,10;0,000000
0;31800,10;0,000000
0;31814,02;0,000000
0;31827,94;0,000000
0;32100,10;0,000000
0;32109,91;0,000000
0;32114,02;0,000000
0;32127,94;0,000000
0;32400,10;0,100000
0;32414,02;0,000000
0;32427,94;0,000000
0;32700,10;0,000000
0;33000,10;0,045914
0;33014,02;0,000000
0;33300,10;0,000000
0;33600,10;0,000000
0;33614,02;0,000000
0;33900,10;0,000000
0;34200,10;0,000000
0;34214,02;0,000000
0;34500,10;0,000000
0;34800,10;0,000000
0;34814,02;0,000000
0;35100,10;0,000000
0;35114,02;0,000000
0;35400,10;0,000000
0;35414,02;0,000000
0;35700,10;0,000000
0;36000,10;0,000000
0;36014,02;0,000000
0;36300,10;0,000000
0;36600,10;0,100000
0;36614,02;0,000000
0;36900,10;0,100000
0;36914,02;0,000000
0;37200,10;0,000000
0;37500,10;0,000000
0;37800,10;0,000000
0;38100,10;0,000000
0;38400,10;0,000000
0;38700,10;0,000000
0;39000,10;0,000000
0;39300,10;0,000000
0;39600,10;0,100000
0;39614,02;0,000000
0;39900,10;0,100000
0;39914,02;0,000000
0;40200,10;0,000000
0;40500,10;0,000000
0;40509,91;0,000000
0;40514,02;0,000000
0;40527,94;0,000000
0;40800,10;0,000000
0;40809,91;0,000000
0;40814,02;0,000000
0;40827,94;0,000000
0;41100,10;0,000000
0;41400,10;0,000000
0;41700,10;0,000000
0;42000,10;0,000000
0;42300,10;0,000000
0;42600,10;0,000000
0;42900,10;0,000000
0;43200,10;0,000000
0;43214,02;0,000000
0;43500,10;0,000000
0;43514,02;0,000000
0;43800,10;0,000000
0;44100,10;0,000000
0;44400,10;0,000000
0;44700,10;0,000000
0;45000,10;0,000000
0;45300,10;0,000000
0;45600,10;0,000000
0;45900,10;0,000000
0;46200,10;0,000000
0;46500,10;0,000000
0;46800,10;0,000000
0;47100,10;0,000000
0;47400,10;0,000000
0;47414,02;0,000000
0;47427,94;0,000000
0;47700,10;0,100000
0;47709,91;0,100000
0;47714,02;0,000000
0;47727,94;0,000000
0;48000,10;0,000000
0;48300,10;0,000000
0;48600,10;0,000000
0;48900,10;0,000000
