time;power
46800,10;0,0109
47100,10;0,0111
47114,02;0,0009
47400,10;0,0184
47414,02;0,0016
47700,10;0,0335
47714,02;0,0016
48000,10;0,0181
48014,02;0,0009
48300,10;0,0106
48314,02;0,0012
48327,94;0,0013
48600,10;0,0248
48627,94;0,0025
48900,10;0,0175
49200,10;0,0188
49214,02;0,0009
49227,94;0,0009
49500,10;0,0100
49514,02;0,0009
49800,10;0,0182
49827,94;0,0025
50100,10;0,0243
50109,91;0,0009
50114,02;0,0004
50127,94;0,0009
50400,10;0,0101
50414,02;0,0013
50427,94;0,0013
50700,10;0,0245
50714,02;0,0012
51000,10;0,0182
51300,10;0,0189
51600,10;0,0192
51900,10;0,0193
52200,10;0,0190
52500,10;0,0189
52800,10;0,0191
53100,10;0,0193
53400,10;0,0193
53700,10;0,0193
54000,10;0,0191
54300,10;0,0191
54600,10;0,0191
54900,10;0,0194
55200,10;0,0194
55500,10;0,0190
55800,10;0,0187
55814,02;0,0009
55827,94;0,0009
56100,10;0,0100
56114,02;0,0009
56400,10;0,0182
56414,02;0,0016
56427,94;0,0016
56700,10;0,0315
56714,02;0,0016
56727,94;0,0013
57000,10;0,0174
57300,10;0,0191
57600,10;0,0193
57627,94;0,0026
57900,10;0,0252
57927,94;0,0026
58200,10;0,0179
58500,10;0,0190
58514,02;0,0009
58527,94;0,0009
58800,10;0,0101
58814,02;0,0020
58827,94;0,0020
59100,10;0,0388
59109,91;0,0014
59114,02;0,0006
59127,94;0,0016
59400,10;0,0174
59700,10;0,0190
60000,10;0,0193
60300,10;0,0192
60314,02;0,0009
60327,94;0,0009
60600,10;0,0101
60614,02;0,0020
60627,94;0,0020
60900,10;0,0385
60909,91;0,0014
60914,02;0,0006
60927,94;0,0019
61200,10;0,0168
61227,94;0,0017
61500,10;0,0100
61514,02;0,0012
61527,94;0,0013
61800,10;0,0245
61827,94;0,0025
62100,10;0,0175
62400,10;0,0193
62427,94;0,0025
62700,10;0,0244
62727,94;0,0025
63000,10;0,0176
63014,02;0,0016
63027,94;0,0016
63300,10;0,0316
63314,02;0,0016
63327,94;0,0016
63600,10;0,0168
63614,02;0,0009
63627,94;0,0009
63900,10;0,0099
63914,02;0,0012
63927,94;0,0012
64200,10;0,0241
64209,91;0,0009
64214,02;0,0004
64227,94;0,0012
64500,10;0,0099
64800,10;0,0111
64814,02;0,0013
65100,10;0,0261
65114,02;0,0013
65400,10;0,0183
65700,10;0,0191
65714,02;0,0016
65727,94;0,0016
66000,10;0,0314
66014,02;0,0016
66027,94;0,0012
66300,10;0,0170
66600,10;0,0190
66900,10;0,0191
67200,10;0,0191
67500,10;0,0190
67800,10;0,0191
68100,10;0,0192
68400,10;0,0188
68414,02;0,0009
68700,10;0,0103
69000,10;0,0112
69014,02;0,0023
69027,94;0,0024
69300,10;0,0461
69314,02;0,0023
69327,94;0,0020
69600,10;0,0243
69627,94;0,0024
69900,10;0,0169
69914,02;0,0009
69927,94;0,0009
70200,10;0,0101
70214,02;0,0012
70227,94;0,0013
70500,10;0,0245
70527,94;0,0025
70800,10;0,0174
71100,10;0,0193
71127,94;0,0025
71400,10;0,0244
71427,94;0,0025
71700,10;0,0173
72000,10;0,0190
72300,10;0,0191
72600,10;0,0193
72900,10;0,0190
72914,02;0,0009
73200,10;0,0106
73214,02;0,0016
73227,94;0,0016
73500,10;0,0312
73514,02;0,0016
73527,94;0,0012
73800,10;0,0172
73809,91;0,0011
73814,02;0,0005
74100,10;0,0330
74109,91;0,0011
74114,02;0,0004
74127,94;0,0009
74400,10;0,0100
74427,94;0,0018
74700,10;0,0172
74714,02;0,0012
75000,10;0,0255
75009,91;0,0009
75014,02;0,0004
75027,94;0,0012
75300,10;0,0101
75314,02;0,0009
75600,10;0,0180
75614,02;0,0009
75900,10;0,0106
75914,02;0,0009
76200,10;0,0181
76500,10;0,0191
76527,94;0,0040
76800,10;0,0388
76809,91;0,0014
76814,02;0,0006
76827,94;0,0020
77100,10;0,0174
77114,02;0,0009
77127,94;0,0009
77400,10;0,0101
77414,02;0,0009
77700,10;0,0178
77714,02;0,0009
78000,10;0,0101
78300,10;0,0108
78600,10;0,0110
78900,10;0,0111
78914,02;0,0009
79200,10;0,0182
79500,10;0,0190
79514,02;0,0009
79800,10;0,0106
79814,02;0,0012
79827,94;0,0013
80100,10;0,0243
80109,91;0,0009
80114,02;0,0004
80127,94;0,0012
80400,10;0,0101
80414,02;0,0009
80700,10;0,0183
80714,02;0,0013
81000,10;0,0258
81014,02;0,0013
81300,10;0,0181
81314,02;0,0009
81600,10;0,0106
81614,02;0,0009
81900,10;0,0179
81914,02;0,0009
82200,10;0,0103
82500,10;0,0109
82800,10;0,0110
83100,10;0,0111
83114,02;0,0009
83400,10;0,0178
83414,02;0,0009
83700,10;0,0103
84000,10;0,0109
84300,10;0,0107
84600,10;0,0108
84900,10;0,0110
85200,10;0,0109
85500,10;0,0109
85800,10;0,0108
86100,10;0,0110
86114,02;0,0009
