time;power
9690,00;0,0116
9720,00;0,0296
9750,00;0,0116
9780,00;0,0144
9810,00;0,0222
9840,00;0,0195
9870,00;0,0193
9900,00;0,0290
9930,00;0,0113
9960,00;0,0292
9990,00;0,0214
10020,00;0,0235
10050,00;0,0136
10080,00;0,0192
10110,00;0,0214
10140,00;0,0213
10170,00;0,0192
10200,00;0,0213
10230,00;0,0212
10260,00;0,0290
10290,00;0,0213
10320,00;0,0213
10350,00;0,0212
10380,00;0,0233
10410,00;0,0233
10440,00;0,0234
10470,00;0,0136
10500,00;0,0190
10530,00;0,0190
10560,00;0,0212
10590,00;0,0288
10620,00;0,0232
10650,00;0,0134
10680,00;0,0207
10710,00;0,0302
10740,00;0,0225
10770,00;0,0131
10800,00;0,0203
10830,00;0,0180
10860,00;0,0202
10890,00;0,0180
10920,00;0,0181
10950,00;0,0295
10980,00;0,0109
11010,00;0,0181
11040,00;0,0181
11070,00;0,0188
11100,00;0,0140
11130,00;0,0215
11160,00;0,0191
11190,00;0,0215
11220,00;0,0192
11250,00;0,0194
11280,00;0,0195
11310,00;0,0195
11340,00;0,0219
11370,00;0,0197
11400,00;0,0197
11430,00;0,0197
11460,00;0,0148
11490,00;0,0226
11520,00;0,0196
11550,00;0,0149
11580,00;0,0177
11610,00;0,0227
11640,00;0,0198
11670,00;0,0198
11700,00;0,0197
11730,00;0,0199
11760,00;0,0199
11790,00;0,0197
11820,00;0,0147
11850,00;0,0226
11880,00;0,0148
11910,00;0,0177
11940,00;0,0177
11970,00;0,0229
12000,00;0,0150
12030,00;0,0353
12060,00;0,0241
12090,00;0,0067
12120,00;0,0228
12150,00;0,0198
12180,00;0,0147
12210,00;0,0248
12240,00;0,0197
12270,00;0,0198
12300,00;0,0147
12330,00;0,0226
12360,00;0,0198
12390,00;0,0146
12420,00;0,0175
12450,00;0,0248
12480,00;0,0147
12510,00;0,0226
12540,00;0,0197
12570,00;0,0148
12600,00;0,0177
12630,00;0,0227
12660,00;0,0149
12690,00;0,0230
12720,00;0,0150
12750,00;0,0230
12780,00;0,0150
12810,00;0,0179
12840,00;0,0231
12870,00;0,0202
12900,00;0,0201
12930,00;0,0202
12960,00;0,0203
12990,00;0,0152
13020,00;0,0232
13050,00;0,0203
13080,00;0,0152
13110,00;0,0182
13140,00;0,0232
13170,00;0,0152
13200,00;0,0182
13230,00;0,0233
13260,00;0,0152
13290,00;0,0181
13320,00;0,0232
13350,00;0,0152
13380,00;0,0234
13410,00;0,0225
13440,00;0,0152
13470,00;0,0234
13500,00;0,0207
13530,00;0,0155
13560,00;0,0237
13590,00;0,0207
