time;number_of_active_hosts300,10;1
309,91;1
314,02;1
327,94;1
600,10;1
614,02;1
627,94;1
900,10;1
1200,10;1
1500,10;1
1800,10;1
2100,10;1
2400,10;1
2700,10;1
3000,10;1
3009,91;1
3014,02;1
3027,94;1
3300,10;1
3309,91;1
3314,02;1
3600,10;1
3609,91;1
3614,02;1
3627,94;0
3900,10;0
3914,02;0
4200,10;0
4214,02;0
4500,10;0
4514,02;0
4527,94;0
4800,10;0
4814,02;0
4827,94;0
5100,10;0
5400,10;0
5700,10;0
6000,10;0
6300,10;0
6600,10;0
6900,10;0
6927,94;0
7200,10;0
7227,94;0
7500,10;0
7800,10;0
7809,91;0
8100,10;0
8109,91;0
8400,10;0
8700,10;0
9000,10;0
9300,10;0
9600,10;0
9900,10;0
10200,10;0
10500,10;0
10800,10;0
11100,10;0
11400,10;0
11700,10;0
12000,10;0
12300,10;0
12314,02;0
12600,10;0
12614,02;0
12900,10;0
13200,10;0
13500,10;0
13800,10;0
14100,10;0
14127,94;0
14400,10;0
14414,02;0
14427,94;0
14700,10;0
14714,02;0
14727,94;0
15000,10;0
15009,91;0
15014,02;0
15027,94;0
15300,10;0
15600,10;0
15900,10;0
16200,10;0
16500,10;0
16800,10;0
17100,10;0
17400,10;0
17700,10;0
17714,02;0
17727,94;0
18000,10;0
18014,02;0
18027,94;0
18300,10;1
18309,91;1
18314,02;1
18327,94;1
18600,10;1
18609,91;1
18614,02;1
18627,94;1
18900,10;1
19200,10;1
19500,10;1
19800,10;1
20100,10;1
20400,10;1
20700,10;1
21000,10;1
21300,10;1
21314,02;1
21327,94;1
21600,10;1
21609,91;1
21614,02;1
21627,94;0
21900,10;0
22200,10;0
22500,10;0
22514,02;0
22800,10;0
22814,02;0
23100,10;0
23400,10;0
23700,10;0
24000,10;0
24300,10;0
24600,10;0
24900,10;0
25200,10;0
25500,10;0
25800,10;0
26100,10;0
26400,10;0
26700,10;0
27000,10;0
27300,10;0
27600,10;0
27900,10;0
28200,10;0
28214,02;0
28500,10;0
28514,02;0
28527,94;0
28800,10;0
28814,02;0
29100,10;0
29114,02;0
29400,10;0
29700,10;0
30000,10;0
30300,10;0
30600,10;0
30900,10;0
31200,10;0
31500,10;0
31800,10;0
31814,02;0
32100,10;0
32114,02;0
32400,10;0
32700,10;0
33000,10;0
33300,10;0
33600,10;0
33900,10;0
33914,02;0
33927,94;0
34200,10;0
34214,02;0
34500,10;0
34514,02;0
34800,10;0
34814,02;0
35100,10;0
35400,10;0
35700,10;0
36000,10;0
36300,10;0
36600,10;0
36627,94;0
36900,10;0
36927,94;0
37200,10;0
37500,10;0
37800,10;0
38100,10;0
38400,10;0
38700,10;0
39000,10;0
39014,02;0
39300,10;0
39314,02;0
39600,10;0
39614,02;0
39627,94;0
39900,10;0
39914,02;0
40200,10;0
40214,02;0
40500,10;0
40509,91;0
40527,94;0
40800,10;0
40809,91;0
40814,02;0
40827,94;0
41100,10;0
41400,10;0
41700,10;0
42000,10;0
42300,10;0
42600,10;0
42900,10;0
43200,10;0
43500,10;0
43800,10;0
44100,10;0
44400,10;0
44409,91;0
44414,02;0
44427,94;0
44700,10;0
44714,02;0
45000,10;0
45300,10;0
45600,10;0
45900,10;0
45927,94;0
46200,10;0
46227,94;0
46500,10;0
46800,10;0
47100,10;0
47400,10;0
47414,02;0
47427,94;0
47700,10;0
47714,02;0
47727,94;0
48000,10;0
48300,10;0
48314,02;0
48600,10;0
48614,02;0
48900,10;0
49200,10;0
49500,10;0
49800,10;0
50100,10;0
50400,10;0
50414,02;0
50700,10;0
50714,02;0
51000,10;0
51300,10;0
51600,10;0
51900,10;0
52200,10;0
52500,10;0
52800,10;0
53100,10;0
53400,10;0
53700,10;0
54000,10;0
54300,10;0
54600,10;0
54900,10;0
54914,02;0
55200,10;0
55214,02;0
55500,10;0
55800,10;0
56100,10;0
56400,10;0
56700,10;0
57000,10;0
57300,10;0
57600,10;0
57900,10;0
58200,10;0
58500,10;0
58800,10;0
59100,10;0
59400,10;0
59700,10;0
60000,10;0
60300,10;0
60600,10;0
60900,10;0
61200,10;0
61500,10;0
61800,10;0
62100,10;0
62400,10;0
62700,10;0
63000,10;0
63300,10;0
63600,10;0
63614,02;0
63627,94;0
63900,10;0
63914,02;0
63927,94;0
64200,10;0
64214,02;0
64227,94;0
64500,10;0
64800,10;0
64827,94;0
65100,10;0
65127,94;0
65400,10;0
65427,94;0
65700,10;0
66000,10;0
66300,10;0
66600,10;0
66900,10;0
67200,10;0
67500,10;0
67800,10;0
68100,10;0
68400,10;0
68414,02;0
68427,94;0
68700,10;0
68714,02;0
69000,10;1
69014,02;1
69027,94;1
69300,10;1
69314,02;1
69327,94;0
69600,10;0
69900,10;0
70200,10;0
70500,10;0
70800,10;0
71100,10;0
71400,10;0
71700,10;0
72000,10;0
72300,10;0
72600,10;0
72900,10;0
73200,10;0
73500,10;0
73800,10;0
74100,10;0
74400,10;0
74700,10;0
75000,10;0
75300,10;0
75600,10;0
75900,10;0
76200,10;0
76500,10;0
76800,10;0
77100,10;0
77400,10;0
77700,10;0
77714,02;0
77727,94;0
78000,10;0
78300,10;0
78314,02;0
78600,10;0
78900,10;0
78927,94;0
79200,10;0
79214,02;0
79227,94;0
79500,10;0
79800,10;0
80100,10;0
80400,10;0
80700,10;0
80714,02;0
81000,10;0
81014,02;0
81300,10;0
81600,10;0
81900,10;0
81914,02;0
81927,94;0
82200,10;0
82214,02;0
82500,10;0
82800,10;0
83100,10;0
83400,10;0
83700,10;0
84000,10;0
84300,10;0
84314,02;0
84600,10;0
84614,02;0
84900,10;0
84914,02;0
85200,10;0
85214,02;0
85500,10;0
85800,10;0
85814,02;0
86100,10;0
86114,02;0
