nazwa testu; œrednia utylizacja hosta (0-1);iloœæ migracji;zu¿ycie mocy (MWh);liczba aktywnych hostów;czas migracji;slatah; pdm;;nazwa testu; œrednia utylizacja hosta (0-1);iloœæ migracji;zu¿ycie mocy (MWh);liczba aktywnych hostów;czas migracji;slatah; pdm
0_thr_mmt_pck;0,72;49969;35,181;46,25;14,58;0,39429;0,00957;;1_thr_mmt_pck;0,47;44442;22,4164;477,22;21,62;0,79362;0,07027
0_thr_mmt_rr;0,42;64864;35,1828;86,07;14,75;0,40904;0,00967;;1_thr_mmt_rr;0,21;34193;11,9729;212,15;22,89;0,73845;0,03203
0_thr_mmt_stp;0,4;168027;35,1923;92,64;18,36;0,41085;0,0305;;1_thr_mmt_stp;0,2;26688;11,8147;200,38;23,62;0,63626;0,06776
0_thr_mmt_wpca;0,36;56789;35,155;84,45;14,2;0,41165;0,00869;;1_thr_mmt_wpca;0,08;90343;20,3407;408,46;19,78;0,6358;0,06288
0_thr_mmt_wpc;0,36;56789;35,155;84,45;14,2;0,41165;0,00869;;1_thr_mmt_wpc;0,08;90343;20,3407;408,46;19,78;0,6358;0,06288
0_thr_rs_lbCpuRatio;0,46;79910;35,1863;75,59;19,87;0,37897;0,01853;;1_thr_rs_lbCpuRatio;0,2;11246;11,4135;189,78;31,49;0,55016;0,05095
0_thr_rs_pck;0,71;43188;35,1817;46,39;19,96;0,49562;0,01229;;1_thr_rs_pck;0,48;45635;22,4505;478,23;22,29;0,7905;0,06716
0_thr_rs_rr;0,46;59980;35,1835;76,79;19,7;0,51948;0,01374;;1_thr_rs_rr;0,22;31789;11,5831;202,68;23,15;0,75191;0,0308
0_thr_rs_stp;0,43;157127;35,1919;84,54;19,62;0,47248;0,0319;;1_thr_rs_stp;0,2;28191;11,9156;205,83;23,26;0,63515;0,06762
0_thr_rs_wpca;0,39;51178;35,1588;77,51;19,81;0,53856;0,0122;;1_thr_rs_wpca;0,08;90343;20,3407;408,46;19,78;0,6358;0,06288
0_thr_rs_wpc;0,39;50472;35,1587;77,22;19,77;0,53668;0,01228;;1_thr_rs_wpc;0,08;90343;20,3407;408,46;19,78;0,6358;0,06288
