nazwa testu, mean vm selection, stDev vm selection, mean destHost selection, stDev destHost selection
1-AF-thr-maxu-pck,0.00056,0.00338,0.01240,0.03050
1-AF-thr-maxu-rr,0.00033,0.00047,0.00427,0.00183
1-AF-thr-maxu-stp,0.00035,0.00048,0.03026,0.02950
1-AF-thr-maxu-wpc,0.00029,0.00046,0.01639,0.03924
1-AF-thr-maxu-wpca,0.00034,0.00048,0.01864,0.04725
1-AF-thr-mc-lbCpuRatio,0.00717,0.00403,0.03175,0.04913
1-AF-thr-mc-mu,0.00988,0.00910,0.02214,0.02863
1-AF-thr-mc-pck,0.01228,0.00955,0.02226,0.02859
1-AF-thr-mc-rr,0.00961,0.00504,0.00545,0.00289
1-AF-thr-mc-stp,0.00647,0.00339,0.04264,0.03654
1-AF-thr-mc-wpc,0.00882,0.00510,0.02303,0.03588
1-AF-thr-mc-wpca,0.00857,0.00465,0.02353,0.03668
1-AF-thr-minu-lbCpuRatio,0.00065,0.00057,0.05588,0.05182
1-AF-thr-minu-mu,0.00157,0.00609,0.04371,0.02877
1-AF-thr-minu-pck,0.00287,0.01020,0.04342,0.03067
1-AF-thr-minu-rr,0.00109,0.00074,0.00710,0.00489
1-AF-thr-minu-stp,0.00059,0.00051,0.06110,0.03937
1-AF-thr-minu-wpc,0.00041,0.00051,0.03859,0.03533
1-AF-thr-minu-wpca,0.00038,0.00049,0.04140,0.03693
1-AF-thr-mmt-lbCpuRatio,0.00035,0.00055,0.03879,0.04696
1-AF-thr-mmt-mu,0.00089,0.00555,0.02672,0.02790
1-AF-thr-mmt-pck,0.00119,0.00828,0.02697,0.02877
1-AF-thr-mmt-rr,0.00069,0.00053,0.00614,0.00394
1-AF-thr-mmt-stp,0.00036,0.00049,0.05269,0.03285
1-AF-thr-mmt-wpc,0.00036,0.00048,0.03032,0.03790
1-AF-thr-mmt-wpca,0.00077,0.00796,0.03021,0.04589
1-AF-thr-rs-lbCpuRatio,0.00032,0.00048,0.03305,0.05124
1-AF-thr-rs-mu,0.00072,0.00484,0.02292,0.02609
1-AF-thr-rs-pck,0.00102,0.00779,0.02492,0.02905
1-AF-thr-rs-rr,0.00048,0.00058,0.00542,0.00365
1-AF-thr-rs-stp,0.00038,0.00049,0.04059,0.03174
1-AF-thr-rs-wpc,0.00032,0.00047,0.02444,0.04678
1-AF-thr-rs-wpca,0.00037,0.00048,0.02895,0.04324
1-thr-cth-lbCpuRatio,0.00045,0.00050,0.05060,0.05716
1-thr-cth-pck,0.00078,0.00378,0.02602,0.02616
